Category: All categories,,,
,,,
Week,sell stocks: (United States),how to sell stocks: (United States),how to short sell: (United States)
02/04/2017,22,7,4
09/04/2017,21,6,6
16/04/2017,17,3,5
23/04/2017,16,5,4
30/04/2017,10,2,3
07/05/2017,15,4,3
14/05/2017,16,4,1
21/05/2017,18,7,3
28/05/2017,12,6,2
04/06/2017,12,4,1
11/06/2017,17,4,1
18/06/2017,15,4,1
25/06/2017,8,1,3
02/07/2017,18,4,3
09/07/2017,11,4,0
16/07/2017,20,7,4
23/07/2017,17,3,2
30/07/2017,18,6,3
06/08/2017,14,4,2
13/08/2017,18,4,2
20/08/2017,11,3,1
27/08/2017,16,4,1
03/09/2017,13,3,3
10/09/2017,17,4,3
17/09/2017,12,6,2
24/09/2017,17,5,2
01/10/2017,14,5,4
08/10/2017,12,3,1
15/10/2017,17,5,2
22/10/2017,11,2,2
29/10/2017,14,5,3
05/11/2017,18,5,2
12/11/2017,26,9,2
19/11/2017,20,5,4
26/11/2017,20,5,4
03/12/2017,22,5,2
10/12/2017,19,3,4
17/12/2017,26,6,4
24/12/2017,16,4,0
31/12/2017,23,6,2
07/01/2018,24,7,2
14/01/2018,18,3,3
21/01/2018,20,5,2
28/01/2018,25,6,5
04/02/2018,30,5,3
11/02/2018,19,3,1
18/02/2018,17,3,3
25/02/2018,16,3,1
04/03/2018,17,5,1
11/03/2018,15,2,1
18/03/2018,16,7,4
25/03/2018,15,3,5
01/04/2018,21,7,1
08/04/2018,16,4,3
15/04/2018,19,5,3
22/04/2018,13,4,1
29/04/2018,18,3,1
06/05/2018,16,5,4
13/05/2018,17,4,1
20/05/2018,20,3,3
27/05/2018,13,2,1
03/06/2018,21,8,3
10/06/2018,14,1,1
17/06/2018,16,4,1
24/06/2018,11,6,1
01/07/2018,18,7,3
08/07/2018,15,3,1
15/07/2018,12,4,1
22/07/2018,20,4,3
29/07/2018,17,2,3
05/08/2018,13,4,1
12/08/2018,16,5,1
19/08/2018,18,4,4
26/08/2018,23,3,1
02/09/2018,22,5,2
09/09/2018,19,4,1
16/09/2018,14,3,3
23/09/2018,22,9,3
30/09/2018,17,5,6
07/10/2018,24,8,3
14/10/2018,19,3,2
21/10/2018,21,3,1
28/10/2018,19,3,1
04/11/2018,21,6,3
11/11/2018,14,3,3
18/11/2018,12,3,2
25/11/2018,16,3,3
02/12/2018,19,5,2
09/12/2018,21,5,4
16/12/2018,25,7,1
23/12/2018,19,3,2
30/12/2018,22,4,2
06/01/2019,16,5,1
13/01/2019,15,5,3
20/01/2019,14,3,3
27/01/2019,18,5,4
03/02/2019,17,5,5
10/02/2019,23,3,4
17/02/2019,21,4,1
24/02/2019,15,5,2
03/03/2019,25,6,2
10/03/2019,13,5,4
17/03/2019,22,5,4
24/03/2019,13,3,3
31/03/2019,21,5,3
07/04/2019,19,4,4
14/04/2019,14,2,3
21/04/2019,21,3,5
28/04/2019,17,7,5
05/05/2019,11,2,2
12/05/2019,24,7,4
19/05/2019,18,3,7
26/05/2019,13,3,1
02/06/2019,12,2,2
09/06/2019,15,4,3
16/06/2019,20,2,3
23/06/2019,12,4,1
30/06/2019,10,0,1
07/07/2019,21,8,3
14/07/2019,12,3,3
21/07/2019,14,3,4
28/07/2019,12,4,3
04/08/2019,17,3,3
11/08/2019,19,8,3
18/08/2019,19,5,2
25/08/2019,16,5,4
01/09/2019,15,2,3
08/09/2019,21,7,3
15/09/2019,17,4,2
22/09/2019,13,1,3
29/09/2019,18,6,4
06/10/2019,13,1,1
13/10/2019,15,3,1
20/10/2019,16,4,2
27/10/2019,21,6,2
03/11/2019,16,2,6
10/11/2019,16,5,4
17/11/2019,16,2,3
24/11/2019,15,4,2
01/12/2019,19,2,2
08/12/2019,16,4,1
15/12/2019,20,6,1
22/12/2019,21,5,3
29/12/2019,27,5,3
05/01/2020,21,7,4
12/01/2020,23,3,2
19/01/2020,24,4,2
26/01/2020,21,7,4
02/02/2020,29,9,5
09/02/2020,25,5,3
16/02/2020,24,6,5
23/02/2020,69,11,3
01/03/2020,42,7,5
08/03/2020,94,13,7
15/03/2020,100,13,6
22/03/2020,100,18,4
29/03/2020,45,7,8
05/04/2020,49,7,6
12/04/2020,52,11,5
19/04/2020,49,11,6
26/04/2020,54,14,6
03/05/2020,47,8,7
10/05/2020,43,10,7
17/05/2020,47,9,8
24/05/2020,39,8,2
31/05/2020,51,7,7
07/06/2020,58,8,4
14/06/2020,47,11,6
21/06/2020,36,8,3
28/06/2020,31,7,1
05/07/2020,40,13,1
12/07/2020,41,12,5
19/07/2020,32,9,3
26/07/2020,42,11,6
02/08/2020,46,14,4
09/08/2020,35,7,2
16/08/2020,39,12,3
23/08/2020,30,7,5
30/08/2020,51,9,4
06/09/2020,24,4,4
13/09/2020,26,9,8
20/09/2020,26,7,3
27/09/2020,25,7,5
04/10/2020,24,5,4
11/10/2020,22,5,3
18/10/2020,26,5,2
25/10/2020,31,7,3
01/11/2020,31,5,2
08/11/2020,43,8,3
15/11/2020,40,10,8
22/11/2020,34,7,3
29/11/2020,49,13,4
06/12/2020,46,13,4
13/12/2020,43,10,6
20/12/2020,28,8,1
27/12/2020,44,9,3
03/01/2021,48,15,4
10/01/2021,63,14,4
17/01/2021,56,11,6