Category: All categories,,,,
,,,,
Week,buy stocks: (United States),how to buy stocks: (United States),top stocks: (United States),how to invest: (United States)
02/04/2017,9,2,3,6
09/04/2017,8,1,3,7
16/04/2017,9,1,3,7
23/04/2017,8,2,3,7
30/04/2017,8,1,3,7
07/05/2017,9,2,3,8
14/05/2017,7,1,3,7
21/05/2017,8,2,3,8
28/05/2017,8,1,2,7
04/06/2017,9,2,3,7
11/06/2017,7,1,3,7
18/06/2017,8,2,2,8
25/06/2017,8,1,3,7
02/07/2017,7,1,2,7
09/07/2017,9,2,3,8
16/07/2017,9,2,3,8
23/07/2017,10,2,3,7
30/07/2017,10,2,3,8
06/08/2017,9,2,3,7
13/08/2017,8,1,2,8
20/08/2017,8,2,3,8
27/08/2017,7,1,2,7
03/09/2017,8,1,2,8
10/09/2017,8,1,2,7
17/09/2017,8,1,3,8
24/09/2017,8,1,3,7
01/10/2017,10,2,3,6
08/10/2017,10,2,3,9
15/10/2017,10,2,3,7
22/10/2017,8,2,3,8
29/10/2017,9,2,3,10
05/11/2017,11,2,3,10
12/11/2017,10,2,3,9
19/11/2017,9,1,3,9
26/11/2017,13,3,3,16
03/12/2017,14,3,4,19
10/12/2017,16,4,5,20
17/12/2017,14,2,4,16
24/12/2017,16,3,4,12
31/12/2017,19,4,6,15
07/01/2018,17,4,6,15
14/01/2018,15,2,4,14
21/01/2018,14,3,5,12
28/01/2018,14,2,5,12
04/02/2018,17,2,4,11
11/02/2018,12,2,3,7
18/02/2018,9,1,3,9
25/02/2018,9,2,3,8
04/03/2018,9,1,3,7
11/03/2018,9,2,3,8
18/03/2018,9,1,3,8
25/03/2018,8,1,2,7
01/04/2018,9,2,3,7
08/04/2018,8,1,3,7
15/04/2018,8,2,3,7
22/04/2018,7,1,3,8
29/04/2018,9,1,3,8
06/05/2018,9,1,3,7
13/05/2018,8,2,4,6
20/05/2018,7,1,3,7
27/05/2018,7,1,3,6
03/06/2018,8,1,3,8
10/06/2018,8,1,3,7
17/06/2018,7,1,4,6
24/06/2018,7,1,3,7
01/07/2018,8,2,2,8
08/07/2018,9,1,3,8
15/07/2018,9,1,3,7
22/07/2018,9,2,3,8
29/07/2018,9,2,3,8
05/08/2018,10,1,3,9
12/08/2018,9,1,3,8
19/08/2018,10,2,3,8
26/08/2018,11,2,3,9
02/09/2018,11,2,3,9
09/09/2018,10,1,4,8
16/09/2018,11,2,5,8
23/09/2018,10,2,4,7
30/09/2018,10,2,4,8
07/10/2018,11,1,4,8
14/10/2018,9,2,3,9
21/10/2018,8,1,3,8
28/10/2018,8,1,2,6
04/11/2018,8,1,3,7
11/11/2018,7,1,2,6
18/11/2018,7,1,2,6
25/11/2018,7,1,2,7
02/12/2018,8,1,2,7
09/12/2018,8,1,3,7
16/12/2018,8,2,3,7
23/12/2018,10,2,3,8
30/12/2018,10,1,3,9
06/01/2019,10,2,4,7
13/01/2019,9,2,4,8
20/01/2019,8,2,3,8
27/01/2019,9,1,4,9
03/02/2019,11,2,3,10
10/02/2019,9,2,3,8
17/02/2019,8,1,4,8
24/02/2019,11,2,3,8
03/03/2019,9,1,3,9
10/03/2019,9,2,3,10
17/03/2019,10,2,3,7
24/03/2019,7,1,2,7
31/03/2019,10,2,3,8
07/04/2019,9,1,3,7
14/04/2019,9,1,3,7
21/04/2019,9,1,3,9
28/04/2019,9,2,3,8
05/05/2019,8,2,2,8
12/05/2019,10,2,3,8
19/05/2019,8,1,3,8
26/05/2019,8,1,2,8
02/06/2019,8,1,3,8
09/06/2019,8,1,2,7
16/06/2019,9,1,2,9
23/06/2019,8,1,3,9
30/06/2019,7,2,2,6
07/07/2019,7,1,3,8
14/07/2019,9,2,3,8
21/07/2019,8,1,3,8
28/07/2019,9,2,3,8
04/08/2019,9,1,3,8
11/08/2019,9,2,3,9
18/08/2019,7,2,3,8
25/08/2019,6,1,2,8
01/09/2019,6,1,3,8
08/09/2019,7,1,3,8
15/09/2019,8,1,3,8
22/09/2019,7,1,2,8
29/09/2019,6,1,2,9
06/10/2019,7,1,2,7
13/10/2019,6,1,2,8
20/10/2019,7,1,3,8
27/10/2019,8,1,2,8
03/11/2019,9,1,2,9
10/11/2019,9,1,2,6
17/11/2019,10,2,3,8
24/11/2019,8,1,2,8
01/12/2019,10,2,3,8
08/12/2019,8,1,3,7
15/12/2019,7,1,3,7
22/12/2019,9,1,3,8
29/12/2019,11,2,4,10
05/01/2020,12,2,5,11
12/01/2020,13,2,4,9
19/01/2020,11,2,3,10
26/01/2020,11,2,3,10
02/02/2020,14,2,4,11
09/02/2020,12,1,4,9
16/02/2020,12,2,4,12
23/02/2020,28,3,6,11
01/03/2020,25,3,5,9
08/03/2020,85,11,8,14
15/03/2020,100,15,10,15
22/03/2020,82,11,11,14
29/03/2020,48,5,7,11
05/04/2020,45,6,7,11
12/04/2020,45,5,9,13
19/04/2020,54,8,8,16
26/04/2020,44,4,8,12
03/05/2020,33,4,7,11
10/05/2020,31,4,7,10
17/05/2020,35,4,7,10
24/05/2020,29,3,6,9
31/05/2020,35,3,7,11
07/06/2020,49,4,11,12
14/06/2020,30,4,7,10
21/06/2020,24,3,6,11
28/06/2020,24,3,5,9
05/07/2020,28,2,6,12
12/07/2020,26,3,6,10
19/07/2020,23,3,7,11
26/07/2020,25,3,6,11
02/08/2020,26,4,7,11
09/08/2020,22,3,7,11
16/08/2020,24,3,5,10
23/08/2020,24,4,5,11
30/08/2020,27,4,7,12
06/09/2020,19,2,4,9
13/09/2020,20,3,4,11
20/09/2020,17,3,4,9
27/09/2020,16,2,3,9
04/10/2020,16,2,4,9
11/10/2020,16,2,5,10
18/10/2020,15,2,3,10
25/10/2020,16,3,3,9
01/11/2020,14,2,3,7
08/11/2020,23,3,5,11
15/11/2020,22,3,5,11
22/11/2020,27,4,5,11
29/11/2020,29,3,7,13
06/12/2020,27,4,6,12
13/12/2020,26,3,5,13
20/12/2020,25,4,5,12
27/12/2020,30,4,7,15
03/01/2021,40,6,9,20
10/01/2021,48,6,11,18
17/01/2021,41,5,8,14